Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bulgaria,1470.96,1730.09,1666.15,1816.06,1778.57,1877.79,1870.79,2029.34,2169.08,2306.88,2482.84,2609.3,2781.13,2880.8,3064.09,3213.96,3422.48,3573.88,3622.67,3763.1,3938.83,4126.38,4358.16,4608.18,4843.38,5187.87,5430.04,5625.72,5857.7,6164.56,6341.73,6352.53,6535.02,6731.97,7021.32,7221.2,7553.33,8022.1,8714.84,8715.23,7749.97,7337.35,6826.13,6568.36,6598.74,6726.32,6181.67,5963.12,6252.72,6428.1,6826.79,7250.03,7667.7,8105.58,8666.48,9449.6,10107.39,10896.64,11516.19,11069.52,11145.09,11421.09,11908.78,12418.13,13059.56,13734.67
Burkina Faso,430.05,441.76,453.28,464.96,477.13,489.81,502.96,515.88,529.94,543.42,544.05,513.98,535.52,525.31,532.0,533.83,530.59,565.82,578.7,582.19,581.8,562.97,644.61,608.82,624.05,623.76,619.33,644.83,690.03,677.34,663.42,678.18,690.18,661.67,638.82,704.96,739.27,716.86,735.81,729.74,705.42,746.6,725.66,728.95,716.2,735.07,793.81,820.38,855.25,888.58,881.01,910.58,919.85,960.12,972.41,1002.55,1030.91,1037.25,1051.65,1056.19,1078.17,1103.31,1136.56,1177.93,1224.02,1271.92
Burundi,232.91,241.61,245.39,251.11,259.98,264.15,269.78,275.57,279.05,289.49,289.79,249.4,264.63,274.58,285.86,293.15,298.59,325.91,320.11,312.45,374.71,381.61,363.6,384.82,378.79,372.34,401.72,426.88,428.83,417.85,407.23,440.7,423.73,426.54,414.45,451.23,454.97,464.72,478.54,467.47,473.81,485.36,479.99,446.53,424.97,380.65,345.92,372.21,384.92,374.74,364.76,359.25,364.35,348.6,353.68,347.94,355.38,356.78,360.93,362.91,369.64,378.48,388.58,399.74,411.31,423.19
Cambodia,608.12,615.33,637.51,632.4,683.2,659.86,720.99,748.43,766.19,814.41,840.01,817.59,857.52,894.84,857.56,875.75,892.82,914.99,933.31,928.56,848.92,811.84,768.51,694.44,647.73,634.6,661.36,617.94,645.66,594.75,567.01,557.04,552.0,561.1,575.68,589.8,592.52,696.24,753.2,741.45,725.43,753.3,776.49,815.2,796.03,812.78,830.93,859.01,885.81,972.29,1031.44,1097.54,1149.59,1228.32,1336.24,1489.84,1635.79,1763.58,1839.92,1774.45,1837.78,1936.67,2035.05,2138.81,2250.57,2370.91
Cameroon,1080.09,1107.15,1134.22,1161.26,1189.09,1217.62,1245.92,1274.78,1304.09,1332.97,1351.6,1349.11,1366.23,1388.52,1411.78,1431.25,1466.27,1342.73,1400.87,1428.78,1453.5,1493.44,1499.22,1519.42,1597.67,1717.67,1616.01,1771.48,2012.04,2058.61,2030.38,2275.52,2384.4,2465.34,2567.3,2697.2,2792.31,2663.11,2378.26,2262.36,2055.88,1916.73,1807.32,1728.57,1631.96,1635.65,1665.23,1706.88,1746.93,1777.06,1805.26,1838.5,1857.24,1885.14,1906.19,1900.86,1914.59,1930.87,1939.02,1922.96,1928.76,1939.4,1977.14,2018.08,2061.91,2085.1
Canada,11179.59,11627.04,12130.22,12330.56,11932.23,12478.96,13076.35,12949.93,12918.65,13106.15,13176.48,13330.65,13929.24,14357.59,14999.19,15620.92,16281.13,16478.1,17043.01,17663.57,17903.03,18526.21,19206.16,20164.43,20570.95,20759.13,21483.83,22009.47,22586.91,23161.83,23324.95,23750.2,22813.03,23231.71,24332.74,25253.82,25638.55,26391.15,27316.19,27569.29,27225.96,26328.3,26242.43,26558.08,27538.1,28028.97,28185.48,29121.54,30064.15,31469.79,32826.65,33060.94,33707.09,34047.75,34809.28,35544.23,36202.47,36648.98,36448.23,35130.84,35818.95,36362.06,36929.48,37392.18,37813.43,38229.36
Cape Verde,785.79,797.49,809.45,821.62,815.09,821.88,834.02,812.92,810.29,871.44,907.67,949.2,868.41,795.7,824.4,838.06,930.85,975.39,1029.8,1078.9,1142.65,1095.24,1073.0,1062.52,1047.31,1118.78,1105.47,1119.85,1095.28,1096.05,1117.72,1188.79,1226.97,1320.96,1367.37,1450.39,1472.67,1483.97,1519.32,1575.84,1553.39,1537.42,1563.16,1632.78,1719.69,1790.51,1860.28,1946.59,2040.52,2231.3,2306.53,2379.86,2476.13,2546.56,2589.59,2721.03,2952.14,3211.43,3346.25,3413.26,3487.69,3592.46,3726.81,3890.38,4055.25,4203.52
Cayman Islands,8914.9,9301.17,9717.0,10182.39,10672.54,11147.47,11739.66,12190.65,12639.52,13087.23,13826.09,14405.33,15085.57,15655.93,16620.25,17431.81,18250.44,19037.29,20015.13,21007.23,22220.38,21985.46,22569.65,24322.31,25154.17,26005.34,26869.53,27758.0,28751.61,29942.51,31390.62,33140.1,35167.79,38457.34,39928.92,39789.7,41065.07,42810.35,46455.52,48096.25,51754.63,50047.89,80798.56,80786.02,81311.29,81640.15,82380.42,83729.18,104320.6,103402.7,99554.48,94809.64,90957.03,87640.19,84198.73,86171.91,87661.4,89811.27,89807.18,83357.48,86754.53,90648.24,94922.13,99445.27,104214.7,109211.9
Central African Republic,851.8,873.14,894.17,914.88,935.89,957.15,977.91,998.81,1019.76,1040.2,1036.02,1062.31,1009.39,992.92,994.82,985.18,966.59,976.92,981.69,1027.56,1031.29,1008.26,985.99,993.7,1000.26,985.01,1011.94,1036.81,1031.64,985.41,927.3,929.65,936.59,839.61,895.03,903.68,922.57,858.99,854.33,850.54,808.96,781.33,728.57,700.67,710.86,729.38,664.13,691.88,705.27,716.89,715.75,705.19,687.99,625.84,620.83,621.2,632.71,659.48,666.25,671.39,683.76,695.29,713.43,735.5,758.57,797.6
Chad,791.6,810.22,828.65,846.91,865.99,885.31,904.84,924.54,944.83,964.2,960.41,960.49,1012.22,972.78,948.34,949.31,928.81,930.99,919.64,962.39,983.14,974.7,912.11,854.09,917.84,1014.25,991.95,932.55,913.22,727.5,685.51,649.11,663.03,742.82,751.05,857.01,829.25,804.52,877.87,884.14,849.94,902.14,924.68,849.7,880.82,850.67,820.39,843.33,878.41,849.81,819.66,880.62,930.31,1007.11,1328.06,1427.92,1394.1,1353.87,1316.22,1308.51,1332.42,1352.04,1390.62,1413.31,1417.24,1422.87
Chile,3413.43,3476.1,3562.94,3789.93,3561.99,3670.54,3658.29,3842.3,3926.62,3752.46,4011.3,4070.36,4174.21,4317.31,4318.48,4252.57,4558.67,4612.31,4710.56,4808.35,4840.04,5142.65,5014.2,4722.28,4788.94,4156.02,4232.1,4541.86,4822.95,5146.78,5440.49,5641.45,4825.39,4587.47,4819.96,4909.89,5099.49,5347.02,5645.2,6150.33,6270.22,6651.12,7350.45,7739.98,8062.68,8807.15,9338.82,9835.76,10025.49,9853.96,10175.02,10410.49,10513.38,10817.59,11359.8,11875.98,12298.87,12758.53,13140.82,12705.36,13163.54,13752.3,14196.17,14641.24,15143.02,15661.61
China,206.05,223.75,242.76,253.69,257.8,263.67,285.56,293.25,322.79,334.1,329.72,267.93,259.68,276.28,302.34,331.18,349.56,327.86,313.15,337.52,371.09,386.0,388.12,413.39,414.76,436.34,430.14,450.15,497.47,530.73,561.06,586.55,635.79,691.22,779.21,868.95,926.74,1011.82,1096.03,1116.29,1150.69,1237.6,1386.92,1593.17,1771.42,1938.11,2107.11,2240.32,2388.57,2552.69,2736.16,2947.25,3204.05,3520.86,3871.81,4317.63,4820.04,5451.04,5941.46,6465.1,7050.24,7634.78,8264.18,8942.69,9675.53,10466.74
Colombia,2531.44,2523.9,2598.34,2688.16,2792.05,2821.77,2829.05,2803.3,2769.92,2859.84,2915.04,2979.84,3034.07,3038.6,3152.87,3134.89,3209.71,3247.65,3356.07,3471.65,3606.65,3723.05,3878.4,4027.05,4171.34,4157.9,4270.28,4368.66,4622.67,4752.12,4852.53,4869.63,4816.99,4772.71,4815.95,4893.23,5065.04,5224.99,5331.24,5389.48,5536.75,5538.41,5713.89,5858.36,6057.39,6256.9,6252.37,6656.64,6571.61,6159.78,6320.36,6356.35,6423.23,6597.41,6843.33,7102.84,7504.3,7921.98,8037.01,7972.28,8237.93,8504.18,8777.9,9055.51,9341.73,9637.94
